id;name;min_players;max_players;min_age;category;user_rating;mechanic
1;override invoice reboot;95882;82892;42395;optical streamline;3062;bottom-line Directives paradigms
2;connect CSS;95828;15000;57285;Vatu Ghana;65419;even-keeled Configuration Berkshire
3;sensor withdrawal;69039;74870;7090;Shoes Rapids;66091;Cambridgeshire Honduras
4;navigating;98869;36624;448;azure Organic;87562;circuit Networked matrix
5;Mauritius;48564;95873;79295;Dakota;33713;National neutral Canada
6;Account;59246;70176;18287;online;70883;ROI
7;Generic Plastic;36006;76159;20889;Loan Fresh Macao;33809;Handmade District
8;withdrawal Armenia;4858;37532;57584;program Cambridgeshire;26727;Internal
9;transmitting Designer;73916;66225;70986;Florida;78079;reintermediate
10;Movies De-engineered hardware;15393;10009;80821;programming Faroe;13488;Guarani
